Date,Open,High,Low,Close,Volume
2022-03-17,92.69,93.44,91.7,92.83,879157
2022-03-18,91.8,92.72,91.22,92.04,1448921
2022-03-21,93.95,94.38,91.94,93.74,1240948
2022-03-22,95.52,96.33,94.49,95.07,502553
2022-03-23,92.86,93.9,92.59,93.1,995291
2022-03-24,91.82,94.25,90.4,92.31,802608
2022-03-25,91.78,93.88,91.19,91.99,1370326
2022-03-28,92.59,93.27,90.92,92.74,1054469
2022-03-29,92.7,94.54,92.28,93.1,1365347
2022-03-30,94.9,96.52,94.28,94.88,1027419
2022-03-31,95.37,96.17,93.46,95.34,644971
2022-04-01,98.86,100.36,97.89,98.5,1254887
2022-04-04,98.96,100.65,97.86,98.73,932196
2022-04-05,99.16,100.45,98.03,98.78,832734
2022-04-06,100.69,103.0,99.94,101.02,980843
2022-04-07,101.24,102.48,99.72,100.77,665147
2022-04-08,100.92,102.15,99.02,100.49,807055
2022-04-11,99.8,101.08,99.15,100.11,1352256
2022-04-12,100.92,101.86,98.59,100.58,1155472
2022-04-13,99.46,101.55,98.51,99.56,653063
2022-04-14,102.24,102.3,100.32,101.76,1212222
2022-04-15,100.84,101.11,98.97,100.47,1259858
2022-04-18,99.91,101.42,97.93,99.51,797619
2022-04-19,100.72,102.22,98.96,100.95,1424319
2022-04-20,99.72,101.65,97.76,99.67,1216386
2022-04-21,101.08,102.34,100.31,101.29,758657
2022-04-22,102.12,103.34,100.78,102.57,1086840
2022-04-25,103.14,104.41,102.09,102.75,1005899
2022-04-26,102.43,103.15,100.6,102.4,1405843
2022-04-27,102.9,103.67,102.06,102.56,911924
2022-04-28,103.17,105.0,102.31,103.23,1120135
2022-04-29,102.9,104.84,101.69,103.35,898877
2022-05-02,103.07,104.41,102.28,102.81,1119659
2022-05-03,103.35,104.88,101.05,102.99,715992
2022-05-04,103.34,105.0,102.72,103.73,963754
2022-05-05,103.09,103.82,102.47,103.14,974538
2022-05-06,103.05,104.42,101.88,103.35,681306
2022-05-09,105.14,106.14,103.73,104.88,581553
2022-05-10,105.43,106.5,103.69,105.02,893374
2022-05-11,103.92,105.13,102.45,103.92,1370453
2022-05-12,104.7,105.73,103.29,104.74,1283645
2022-05-13,103.69,104.81,101.91,103.69,1310848
2022-05-16,104.26,105.03,103.79,104.35,1321216
2022-05-17,106.25,106.45,105.06,105.89,1087496
2022-05-18,104.67,105.58,104.05,104.59,1018806
2022-05-19,103.51,104.66,102.12,103.93,622324
2022-05-20,102.85,104.39,102.03,102.64,1478044
2022-05-23,104.51,105.43,102.24,104.07,909174
2022-05-24,106.77,107.79,105.05,106.49,1275860
2022-05-25,107.2,108.41,105.35,107.1,1236786
2022-05-26,108.09,108.55,105.86,107.68,522679
2022-05-27,107.93,109.14,105.88,107.46,777088
2022-05-30,108.44,109.29,106.61,108.11,1288086
2022-05-31,110.22,111.65,109.18,110.03,669416
2022-06-01,110.58,111.89,109.25,110.25,1034172
2022-06-02,109.42,111.02,108.3,109.65,876526
2022-06-03,109.8,111.32,108.4,110.11,802601
2022-06-06,111.16,112.6,110.0,110.86,1488212
2022-06-07,109.78,111.18,108.31,110.26,853418
2022-06-08,110.18,111.04,109.83,110.52,781729
2022-06-09,110.27,111.45,108.7,110.05,664374
2022-06-10,112.26,114.09,110.99,112.36,561454
2022-06-13,111.94,112.86,111.22,112.26,1464792
2022-06-14,111.24,113.01,109.8,111.49,1402767
2022-06-15,113.85,115.46,112.08,113.57,768551
2022-06-16,113.99,115.31,111.62,113.6,750385
2022-06-17,113.96,114.87,111.83,113.62,1097893
2022-06-20,114.41,115.58,112.8,114.14,849430
2022-06-21,113.4,114.14,111.37,113.11,925223
2022-06-22,111.93,113.09,110.32,112.3,1288865
2022-06-23,113.29,113.98,112.12,113.06,931614
2022-06-24,114.06,115.12,113.76,114.54,576082
2022-06-27,113.81,114.74,112.96,113.64,1473332
2022-06-28,113.9,115.2,112.52,114.2,1314387
2022-06-29,115.18,116.49,113.72,115.1,863368
2022-06-30,115.93,118.23,115.7,116.31,735738
2022-07-01,115.15,116.59,114.22,115.0,766970
2022-07-04,115.37,116.06,114.21,115.23,1359622
2022-07-05,113.86,115.79,111.98,113.97,887517
2022-07-06,114.59,115.87,113.95,114.63,1125414
2022-07-07,115.8,116.51,114.42,115.77,615140
2022-07-08,117.14,117.8,115.48,116.82,1031383
2022-07-11,116.46,118.55,115.14,116.91,1444232
2022-07-12,116.67,117.61,115.8,116.93,537341
2022-07-13,117.22,118.97,115.98,117.01,888853
2022-07-14,117.12,118.44,115.39,116.95,1189051
2022-07-15,117.26,118.25,115.73,117.12,1430770
2022-07-18,115.99,116.78,115.02,115.8,1126125
2022-07-19,115.72,117.36,115.37,115.89,531734
2022-07-20,116.52,116.78,115.38,116.21,887125
2022-07-21,117.0,117.67,114.82,116.55,1225822
2022-07-22,116.19,117.4,115.29,116.63,1326116
2022-07-25,114.81,115.92,114.18,114.81,1485086
2022-07-26,115.5,116.6,114.36,115.83,604532
2022-07-27,116.52,117.28,115.51,116.4,1472946
2022-07-28,117.06,118.91,115.29,117.18,628714
2022-07-29,118.0,119.96,117.38,118.41,1235510
2022-08-01,118.02,120.39,117.17,118.39,756228
2022-08-02,117.55,119.19,116.37,117.8,1289495
2022-08-03,118.62,120.86,117.09,118.88,811233
2022-08-04,121.06,122.22,119.7,120.6,1163747
2022-08-05,119.98,121.65,119.57,120.24,847860
2022-08-08,121.56,122.02,119.78,121.16,1152532
2022-08-09,122.55,123.07,120.54,122.15,1154502
2022-08-10,124.02,125.65,122.82,124.4,514410
2022-08-11,123.99,125.3,122.15,124.0,1021275
2022-08-12,124.88,126.85,123.76,125.06,1087558
2022-08-15,126.5,127.89,125.12,126.94,1235154
2022-08-16,125.92,127.23,125.24,126.14,569811
2022-08-17,122.99,124.53,122.2,123.17,1139840
2022-08-18,122.54,124.12,121.68,122.36,1222485
2022-08-19,123.69,124.96,122.44,123.85,801896
2022-08-22,125.61,127.07,124.34,125.52,1065908
2022-08-23,125.42,127.54,124.51,125.79,1022310
2022-08-24,124.28,126.28,123.79,124.48,660562
2022-08-25,123.94,124.44,123.06,123.56,585278
2022-08-26,124.68,124.81,122.76,124.3,1324365
2022-08-29,123.53,123.91,122.29,123.18,1335348
2022-08-30,121.96,122.39,119.95,121.88,555849
2022-08-31,121.46,122.53,120.97,121.53,644197
2022-09-01,121.56,121.62,120.24,121.11,1114367
2022-09-02,121.26,123.13,120.52,121.53,1334291
2022-09-05,122.41,123.71,122.18,122.79,1101035
2022-09-06,123.47,124.73,122.77,123.64,934549
2022-09-07,123.56,123.92,121.67,123.34,1499624
2022-09-08,124.2,126.37,123.72,124.55,1122162
2022-09-09,123.82,125.77,122.98,124.08,1017569
2022-09-12,124.34,125.6,122.16,124.14,1071154
2022-09-13,123.23,124.47,122.4,123.17,1306291
2022-09-14,122.54,123.4,121.68,122.74,942014
2022-09-15,122.22,123.45,121.25,122.15,812928
2022-09-16,120.62,122.62,118.99,120.93,542017
2022-09-19,120.11,121.89,118.35,120.29,510568
2022-09-20,120.41,121.11,119.65,120.61,702313
2022-09-21,122.57,123.44,121.02,122.34,644375
2022-09-22,122.73,124.39,121.49,122.45,677344
2022-09-23,122.42,123.71,120.86,122.22,942154
2022-09-26,121.09,122.79,120.72,121.54,951486
2022-09-27,121.33,122.01,119.46,121.28,678305
2022-09-28,120.77,123.15,119.93,121.23,967352
2022-09-29,120.37,120.95,119.31,120.44,1343720
2022-09-30,120.88,121.81,119.66,121.14,1222100
2022-10-03,121.58,121.89,119.6,121.17,832968
2022-10-04,119.53,119.73,117.83,119.17,850400
2022-10-05,118.44,119.22,117.28,118.58,501300
2022-10-06,120.65,121.23,119.74,120.32,539660
2022-10-07,119.57,120.56,119.03,119.98,789625
2022-10-10,119.3,120.72,118.21,119.44,1122697
2022-10-11,118.82,119.2,117.26,118.53,965004
2022-10-12,118.27,120.57,117.2,118.76,1405772
2022-10-13,118.83,119.95,117.67,118.67,901577
2022-10-14,119.98,121.77,118.7,120.47,1098582
2022-10-17,120.59,121.67,120.35,120.99,1441523
2022-10-18,119.61,121.06,118.76,119.77,1079649
2022-10-19,120.91,121.8,119.21,120.44,555406
2022-10-20,121.05,122.32,119.76,120.84,848838
2022-10-21,122.57,122.79,121.09,122.23,950853
2022-10-24,123.68,125.12,122.41,123.37,1239103
2022-10-25,122.79,123.87,121.99,122.66,1062520
2022-10-26,122.1,122.89,121.41,122.2,775810
2022-10-27,121.89,123.02,120.6,122.05,1486437
2022-10-28,120.94,121.86,120.77,121.31,1489636
2022-10-31,122.08,124.17,120.85,122.23,588887
2022-11-01,120.82,122.49,120.02,121.07,566334
2022-11-02,121.11,123.43,120.5,121.55,1143875
2022-11-03,120.55,122.25,119.23,120.3,1096050
2022-11-04,121.61,123.39,120.91,121.43,1102587
2022-11-07,121.72,123.25,119.92,121.82,778567
2022-11-08,120.92,122.8,120.1,121.0,1072282
2022-11-09,119.69,121.04,118.72,119.44,1268592
2022-11-10,119.22,120.19,118.41,119.2,1309816
2022-11-11,118.23,120.12,116.67,118.48,1316371
2022-11-14,117.87,118.75,116.92,118.11,1023929
2022-11-15,119.78,120.25,118.19,119.4,754526
2022-11-16,119.2,120.02,117.35,119.04,1292701
2022-11-17,119.53,120.53,117.39,119.2,1262762
2022-11-18,121.88,122.51,120.01,121.81,721876
2022-11-21,121.99,122.38,119.89,121.64,909902
2022-11-22,120.98,122.35,119.89,121.46,1468183
2022-11-23,122.82,123.42,121.71,122.54,775380
2022-11-24,122.32,124.0,121.31,122.64,1126203
2022-11-25,120.93,121.72,119.77,120.56,1065167
2022-11-28,119.53,120.61,118.25,119.33,802124
2022-11-29,118.29,119.13,117.83,118.35,871204
2022-11-30,117.06,119.0,115.45,117.09,1176078
2022-12-01,115.08,116.07,113.66,115.54,673221
2022-12-02,115.54,116.97,114.89,115.81,873593
2022-12-05,118.2,118.83,116.59,118.09,1023652
2022-12-06,117.89,119.21,116.69,118.19,1060970
2022-12-07,118.2,119.54,117.29,118.28,534911
2022-12-08,118.84,119.98,116.67,118.51,654918
2022-12-09,118.36,118.73,116.88,118.09,1405644
2022-12-12,117.92,119.61,116.93,118.34,587217
2022-12-13,120.81,121.84,120.48,121.02,649641
2022-12-14,122.52,123.27,120.76,122.22,1209325
2022-12-15,122.63,123.77,120.55,122.5,553740
2022-12-16,121.52,122.24,120.89,121.62,1280387
2022-12-19,121.87,123.13,120.63,122.09,1191505
2022-12-20,122.66,124.13,121.34,122.34,1154104
2022-12-21,125.86,127.25,124.1,125.6,880291
2022-12-22,126.58,128.37,125.55,126.45,862539
2022-12-23,128.08,130.01,127.48,128.19,1061473
2022-12-26,128.62,129.97,127.17,128.73,1348749
2022-12-27,129.38,130.08,127.19,129.17,783888
2022-12-28,128.93,130.16,128.09,128.85,697884
2022-12-29,129.65,131.49,129.09,129.63,1055836
2022-12-30,128.06,129.14,126.97,128.41,831899
